,,,,Day 0,,,,,,,day 3,,,,,,,,,,,,,,EOT,,,,,,,,,,,,,
10035-6,Dual specificity protein phosphatase 4,DUSP4,Q13115,955.876,249.2627004,0.90034706,0.42579783,0.992020993,963.5642857,175.1246826,940.768,241.3460382,0.74684171,0.340902974,0.977599044,0.992608059,0.083369317,0.844017481,0.179420827,0.994942446,962.325,213.4068869,0.997653746,0.089466556,922.8045455,215.4497209,0.919785356,0.281205999,1.006593378,0.969855814,0.082238031,0.274722675,0.260371697,0.975165169,916.76,159.8857917,0.99455543,0.057588522
10036-201,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,4876.832,1712.555143,0.37604385,0.370842724,0.92781836,5256.235714,1248.665465,4883.764,1615.144133,0.588440458,0.348268273,0.95425621,1.024891711,0.121780155,0.237265842,0.168826268,1.040372062,5117.875,1321.025553,0.985120369,0.102577902,4928.618182,1369.782966,0.723219029,0.185649441,0.969401818,1.060837618,0.174486241,0.157223311,0.199425692,1.070265246,5084.185,1384.365154,0.991191316,0.129391207
10037-98,"Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long",SIGLEC12,Q96PQ1,647.792,238.5222068,0.788266591,0.453899367,0.973511596,665.4178571,225.9242968,635.18,253.1250395,0.572468561,0.409041325,0.934729716,0.970736404,0.087909835,0.440923737,0.285343352,0.978551641,679.5333333,280.3610807,0.992013465,0.097464644,607.7,201.1644578,0.443281921,0.338872912,0.917248406,0.929639744,0.107786049,0.575946693,0.221207516,0.977056177,662.525,241.8323859,0.951470105,0.133847761
10039-32,Purine nucleoside phosphorylase,PNP,P00491,4992.148,4715.977392,0.747968204,0.224452989,1.097886339,4547.053571,5121.395306,5057.412,5206.933135,0.9719976,0.251428895,1.010574567,1.669421247,2.427654577,0.561086382,0.122007399,0.772727017,5004.491667,5073.20288,2.160428211,3.203979055,3877.895455,3123.009994,0.704863739,0.425092523,1.090028265,1.278617291,1.260954203,0.508278166,0.376455285,0.816390859,3557.61,2134.183193,1.566182764,1.44366225
10040-63,Tumor protein 63,TP63,Q9H3D4,814.208,265.8279382,0.727358863,0.398067423,1.026693147,793.0392857,135.8214488,861.168,280.56192,0.459675664,0.192150202,1.062394342,1.056295669,0.08679189,0.263043,0.278380233,1.027703763,810.5916667,173.5774009,1.027821156,0.083613507,836.3954545,253.7518607,0.60335461,0.185649441,1.04685523,1.018437153,0.083172609,0.539170214,0.159921578,0.980386512,798.96,196.9281707,1.038811878,0.119296199
10041-3,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,20124.3,5582.759628,0.013436242,0.010031361,0.831823991,24192.97857,5748.219505,22572.256,5649.873592,0.844913411,0.370699981,0.986818675,1.145312385,0.263529797,0.015248096,0.014801075,1.181547163,22873.7625,4841.835132,0.96933277,0.205292527,20732.68182,5734.017553,0.416535021,0.142234683,0.93884983,1.098777759,0.232277378,0.030161697,0.017737698,1.166262904,22083.065,4652.634822,0.942135565,0.208431101
10042-8,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,1782.804,547.0727356,0.812902956,0.370842724,0.982568572,1814.432143,373.3199873,1944.72,628.5429258,0.524696727,0.257846111,1.053677566,1.072622554,0.123575455,0.123618822,0.078909311,1.050237408,1845.65,412.1898117,1.021314367,0.096362639,1779.186364,498.952278,0.985398567,0.366932713,1.001489617,1.000539906,0.103807283,0.783258423,0.285477026,0.989176405,1776.54,408.717031,1.01148784,0.141007174
10043-31,Bromodomain-containing protein 4,BRD4,O60885,1302.704,752.1346435,0.596694734,0.460967819,1.071352977,1215.942857,271.6869475,1381.668,772.0542606,0.381249525,0.32635522,1.12147618,1.078387385,0.172006237,0.20522366,0.153704743,1.056322066,1232.008333,285.506074,1.020888818,0.12788475,1172.590909,260.3659503,0.954860909,0.395722274,0.996029704,1.026608987,0.145204142,0.686526905,0.415247547,1.021359998,1177.265,258.0589318,1.005139215,0.183945687
10044-12,Protein Wnt-10a,WNT10A,Q9GZT5,2026.028,890.8735522,0.526045152,0.384383779,0.932806009,2171.971429,718.2976417,1931.924,826.92403,0.423222216,0.208970088,0.910948313,1.026171985,0.272356318,0.646946244,0.306715686,1.032921656,2120.783333,775.6072238,0.993465457,0.203597824,1884.863636,747.9928297,0.54920046,0.221207516,0.925959007,0.975900136,0.205826886,0.806195036,0.484932955,0.975864859,2035.58,822.0448112,1.000036149,0.377088698
10045-47,Cullin-3,CUL3,Q13618,847.12,318.6086578,0.54526442,0.377594445,0.929646004,911.2285714,430.0310918,875.492,327.3665345,0.5337071,0.409045885,0.918569062,1.104182384,0.41248184,0.609550391,0.479443976,0.913002554,953.1041667,498.7349952,1.209396818,0.887251277,818.9045455,179.7864275,0.951294343,0.357491324,0.995955567,1.035391937,0.339585995,0.984596175,0.454884707,0.997606549,822.23,162.3877462,1.037876042,0.453578491
10046-55,Baculoviral IAP repeat-containing protein 2,BIRC2,Q13490,1781.356,430.8141595,0.186524371,0.098219674,0.904861707,1968.65,564.9554391,1879.604,486.6084072,0.405794505,0.192150202,0.934901558,1.05722388,0.152158004,0.191377344,0.336256029,1.045564919,2010.483333,576.6333011,1.011150872,0.064950372,1812.313636,471.2826842,0.504447021,0.376455285,0.940557717,1.003833453,0.099406366,0.96801173,0.464880682,1.001145049,1926.85,589.3998664,1.002685329,0.080231942
10047-12,Neutrophil cytosol factor 2,NCF2,P19878,861.62,257.7653134,0.187464926,0.184118799,0.887852882,970.4535714,323.0449863,886.7,268.2466999,0.33419583,0.385908119,0.92468932,1.028317595,0.137314128,0.604217263,0.390365974,0.974734549,958.9166667,238.7905824,1.054971937,0.202518271,1019.286364,364.0971577,0.924711971,0.444917219,0.989535965,1.181060179,0.310439138,0.188492497,0.153872635,1.107951236,1030.065,352.3199601,1.065985705,0.230629969
10048-7,Core-binding factor subunit beta,CBFB,Q13951,1830.412,1625.894714,0.594495036,0.257737704,0.817202938,2239.85,3568.651068,1860.136,1704.545956,0.681546541,0.298055965,0.869345993,1.011007785,0.090600594,0.73121259,0.495887047,1.009534198,2139.695833,2779.689854,1.00145967,0.096671481,1474.663636,209.1826139,0.291930928,0.169272888,0.667042242,0.981567902,0.092545729,0.81134,0.366932713,0.992694221,2210.75,2953.972106,0.988791796,0.097054363
10049-112,Telomeric repeat-binding factor 1,TERF1,P54274,809.456,158.2665475,0.189095082,0.11113902,0.938262716,862.7178571,122.045422,836.676,172.6971112,0.455563742,0.238852068,0.960900403,1.034873576,0.075337908,0.43772932,0.328766232,1.016045298,870.7208333,135.9401277,1.018530943,0.065913497,819.6409091,161.7272863,0.396373233,0.113351428,0.949889798,1.011421437,0.046302213,0.586479207,0.070337488,0.988182495,862.88,157.035049,1.023516852,0.085114271
10053-5,Integrin-linked protein kinase,ILK,Q13418,5108.744,7376.714385,0.040174027,0.0071449,2.836800854,1800.882143,1410.981684,5060.38,9331.052835,0.153141064,0.319177509,2.30048643,0.942980223,0.588332352,0.006860204,0.002146279,0.541545073,2199.7,1864.4866,1.741277449,1.191606355,6014.054545,7521.89773,0.035818104,0.077380614,2.614834746,1.479058462,1.102288216,0.519519143,0.192462212,0.868952467,2299.975,1111.459492,1.70211665,1.067329715
10054-3,Gigaxonin,GAN,Q9H2C0,703.016,254.8400105,0.963405225,0.299578292,0.995778408,705.9964286,199.0467613,690.46,240.8430476,0.772930578,0.496010644,0.972958501,0.989788292,0.0632114,0.315915158,0.158642395,0.979460539,709.65,212.0570835,1.010544327,0.075075138,676.3954545,218.0570974,0.890509172,0.386053649,0.985977646,0.962196337,0.08472438,0.416317047,0.366932713,0.976083447,686.015,220.3848209,0.98577262,0.095626857
10056-5,Forkhead box protein M1,FOXM1,Q08050,1155.54,351.4004963,0.552490636,0.148631939,1.060907088,1089.2,439.6895203,1228.292,679.3705728,0.64435089,0.348268273,1.061499472,1.082462113,0.420233269,0.441693262,0.20768608,0.915547879,1157.129167,307.4305104,1.182310765,0.451792199,1222.218182,298.5738246,0.347367527,0.172479671,1.082888352,1.077436061,0.301273777,0.785816559,0.348136362,0.973532839,1128.665,321.1279251,1.10672801,0.368018901
10058-1,UV excision repair protein RAD23 homolog A,RAD23A,P54725,23320.7,16200.00501,0.982228098,0.299578292,0.995537019,23425.24643,17136.56758,22638.284,14758.54741,0.831955823,0.370699981,1.036363435,1.185995811,0.982777642,0.726281623,0.179420827,0.918758605,21843.9625,10473.53518,1.290867704,1.03589511,18793.32727,10924.14093,0.964424329,0.395722274,1.007460658,1.014617567,0.73484799,0.660381335,0.444917219,0.900105461,18654.155,8641.453805,1.127220765,0.859987778
10063-10,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,916.696,705.4576583,0.611418261,0.170236328,1.090479484,840.6357143,176.4205977,802.844,198.6776023,0.27115158,0.312066949,0.828321798,1.001792317,0.18239774,0.327861466,0.285343352,0.871262851,969.2416667,683.0369792,1.149816403,0.688249378,798.4136364,194.8556815,0.677422249,0.285477026,0.969566333,0.973435983,0.175193291,0.497440532,0.348136362,0.971004339,823.475,183.3104522,1.002504256,0.079087499
10064-12,Putative hydrolase RBBP9,RBBP9,O75884,2530.508,736.7278976,0.423731253,0.404957721,0.945272505,2677.014286,527.0381172,2571.576,742.5138998,0.813246211,0.264347292,0.982512883,1.018823251,0.05596134,0.087546983,0.098746284,1.03180535,2617.345833,569.9816517,0.987418073,0.065607674,2571.154545,675.9542311,0.835789694,0.49497659,0.983771066,1.023999174,0.095915921,0.298577289,0.276981786,1.026094997,2613.57,609.8069531,0.997957477,0.056979846
10069-2,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Q13526,1150.824,269.731197,0.632883188,0.432793924,0.971065841,1185.114286,235.6186427,1179.276,275.3749898,0.818722104,0.424654565,0.986528821,1.038782164,0.113963671,0.962683018,0.454853514,1.001735553,1195.379167,198.7777947,1.036982426,0.143726374,1161.277273,264.1237467,0.912313095,0.260371697,1.007541546,1.003873027,0.081896269,0.744225484,0.26861222,0.988854037,1152.585,231.8890991,1.015188278,0.128021849
10070-22,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,1699.192,482.3576084,0.119660652,0.078316838,1.135246258,1496.760714,423.0773227,1799.624,695.165432,0.57144649,0.432505068,1.058503767,1.103811874,0.398377277,0.358428799,0.091764476,0.919231192,1700.158333,486.3520758,1.200798976,0.303892661,1838.227273,355.537303,0.662882717,0.136635277,1.047811026,1.147828202,0.382581598,0.832219322,0.415247547,1.019328258,1754.35,757.1652954,1.126063358,0.255504178
10073-22,Tyrosyl-DNA phosphodiesterase 1,TDP1,Q9NUW8,1720.204,522.7206455,0.487037308,0.350832283,1.052809352,1633.917857,317.5022138,1756.732,556.1121166,0.534722697,0.416833837,1.046343345,1.030518206,0.14238076,0.579327427,0.313993596,0.974211628,1678.925,239.4797578,1.05779707,0.185951447,1654.840909,422.7697457,0.657586789,0.425092523,1.032652368,0.998553203,0.113145539,0.931454677,0.49497659,1.003540515,1602.515,314.6333871,0.995030284,0.140896587
10074-128,Bromodomain-containing protein 2,BRD2,P25440,1735.396,523.1937924,0.34023044,0.219152812,0.936060504,1853.935714,314.4139948,1741.848,511.0861596,0.664914746,0.496010644,0.969718069,1.012464619,0.062979609,0.117067866,0.081987465,1.028276449,1796.241667,327.388822,0.984622977,0.054930224,1715.263636,471.9782618,0.514571018,0.260371697,0.952273522,1.000000426,0.06547138,0.717607731,0.395722274,1.0080218,1801.23,350.6485692,0.99204246,0.072021233
10075-75,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,494.82,461.2386792,0.068543575,0.078316838,1.607658301,307.7892857,156.5101511,572.812,893.4984219,0.208285188,0.370699981,1.709418816,1.109546828,0.70231689,0.550774085,0.126230819,0.907904137,335.0916667,117.1558468,1.222096896,0.559203926,536.7363636,490.7205422,0.051688902,0.025481926,1.719867866,1.191721137,0.719170974,0.737513934,0.454884707,1.053251896,312.08,98.1282253,1.131468305,0.36816079
10076-1,AP-4 complex subunit mu-1,AP4M1,O00189,1843.788,335.9499788,0.396767433,0.235268574,0.950344952,1940.125,464.6447672,1928.888,403.860087,0.963213739,0.424654565,0.997206385,1.083483869,0.362208257,0.566173342,0.454853514,1.043786663,1934.291667,395.0525376,1.038031915,0.09777851,1915.827273,394.1904572,0.505853758,0.178988343,1.043564165,1.038640691,0.135594444,0.787064514,0.484932955,1.009110222,1835.85,359.2377298,1.029263869,0.076808653
10078-5,BAG family molecular chaperone regulator 3,BAG3,O95817,940.416,180.5334156,0.2466383,0.125231949,0.947450822,992.575,128.7343517,964.288,190.9993347,0.658046293,0.432505068,0.977083726,1.025372954,0.052336728,0.065472629,0.04072268,1.03108977,986.9041667,155.9195425,0.994455559,0.058575044,995.6136364,418.8973852,0.907404402,0.202954078,1.012080181,1.051937244,0.326783067,0.577198606,0.454884707,1.042169004,983.73,190.3759835,1.009372991,0.106572501
10080-9,Translation initiation factor eIF-2B subunit alpha,EIF2B1,Q14232,1706.32,1117.379155,0.278188404,0.01388746,1.275171017,1338.110714,1281.519082,1920.572,1694.318606,0.155672745,0.284338849,1.434953755,1.346470919,1.14448393,0.507433954,0.14886992,0.835739581,1338.420833,983.3773657,1.611113019,1.514976056,1916.422727,1028.494099,0.02419026,0.021313982,1.493983853,1.368623526,1.006388608,0.889702982,0.464880682,0.967247731,1282.76,648.1012871,1.414966903,1.08523856
10081-17,DNA-binding protein SATB2,SATB2,Q9UPW6,782.068,198.3717232,0.176107162,0.12894214,0.913588912,856.0392857,184.7968756,769.772,180.6983221,0.345958645,0.277595325,0.927352348,1.003078222,0.104750698,0.164976102,0.034012646,1.044713517,830.075,246.5200419,0.960146686,0.101585102,749.2227273,161.8204474,0.211288246,0.077380614,0.915377468,0.97545236,0.103957997,0.681412031,0.153872635,1.015547109,818.485,180.844539,0.960519066,0.122360414
10082-251,Neurofilament light polypeptide,NEFL,P07196,3707.436,1558.643001,0.738709718,0.377594445,0.966200619,3837.128571,1138.757565,3837.984,2137.163219,0.949390361,0.47209683,1.008507356,0.975694214,0.145533138,0.710921618,0.351429649,0.977652298,3805.608333,1236.898405,0.997997157,0.246675035,3381.563636,1430.732493,0.677156837,0.357491324,0.950657178,0.896505288,0.149455223,0.207692295,0.057741485,0.922993815,3557.08,1214.548096,0.971301512,0.21028699
10085-25,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,2166.028,588.3310432,0.517992371,0.475137693,0.957717224,2261.657143,438.1614139,2105.98,543.2869113,0.392799062,0.226627352,0.943215443,0.978092725,0.103059355,0.559259911,0.292388361,0.979980622,2232.766667,462.6293888,0.998073536,0.126101171,2156.077273,545.7460231,0.835885289,0.49497659,0.984236022,0.988195547,0.139140855,0.985169276,0.49497659,1.000710353,2190.61,501.6476521,0.987494078,0.095818665
10086-39,Cystathionine beta-synthase,CBS,P35520,2299.012,600.1222151,0.376608511,0.184118799,0.945341034,2431.939286,438.9593305,2319.984,585.8157893,0.764043933,0.440382308,0.980004048,1.018316971,0.090119658,0.33677573,0.278380233,1.025514301,2367.320833,486.1718789,0.992981736,0.086867013,2354.495455,607.8412685,0.815702091,0.376455285,0.982443849,1.003063568,0.112607891,0.788955193,0.357491324,0.990216833,2396.57,526.061908,1.012973658,0.119232747
10087-10,Alpha-crystallin A chain,CRYAA,P02489,1072.936,2369.638032,0.424765976,0.036671815,1.578651309,679.6535714,133.051479,1057.756,2178.14106,0.410988656,0.146859056,1.544620327,1.041234404,0.100284126,0.503468523,0.374634038,1.018695919,684.8,156.342943,1.022124841,0.091710539,1141.777273,2380.221088,0.397489261,0.285477026,1.650885641,1.05460749,0.104911965,0.850896253,0.444917219,1.006157805,691.615,195.3751552,1.048153168,0.110216099
10088-37,Adenine phosphoribosyltransferase,APRT,P07741,2955.336,4070.377737,0.135750678,0.114550942,1.874431618,1576.657143,1812.342404,3609.184,6928.395869,0.440502413,0.298055965,1.499715467,1.438466636,1.601046446,0.332221861,0.057351365,0.691181247,2406.579167,2923.443007,2.081171389,2.698337715,2857.263636,4007.800983,0.228716551,0.260371697,1.664397949,1.21528782,1.048465756,0.185803173,0.110959917,0.66729949,1716.695,1315.264335,1.821202982,1.678294155
10089-7,N-acetylserotonin O-methyltransferase-like protein,ASMTL,O95671,713.3,111.067583,0.33822898,0.232533512,1.043299292,683.6964286,106.9006097,742.776,183.0181658,0.56503144,0.464143607,1.038448149,1.059281428,0.284297438,0.890122459,0.02693145,0.99183582,715.275,140.2372877,1.068000779,0.095670149,748.8727273,84.98027141,0.929814677,0.26861222,1.006096351,1.084389643,0.251308524,0.771389796,0.153872635,0.982622746,744.335,207.0728477,1.103566601,0.15611399
10336-3,E3 ubiquitin-protein ligase CHIP,STUB1,Q9UNE7,836.056,506.6251641,0.048614573,0.023481047,1.38503402,603.6357143,244.1324249,1027.152,988.179995,0.062328907,0.051550748,1.637167392,1.192355419,0.707501149,0.673528595,0.153704743,1.059657815,627.3958333,178.4831259,1.125226845,0.267893021,943.9454545,405.7045306,0.006834577,0.009915009,1.43443676,1.222962052,0.62317006,0.562025128,0.444917219,1.08386051,658.06,187.9534448,1.128338971,0.380929012
10339-48,Gamma-enolase,ENO2,P09104,6740.684,3679.382572,0.243570996,0.047863837,1.228842523,5485.392857,3916.091167,7028.904,4883.522943,0.126986997,0.079269841,1.390232211,1.042280803,0.411827794,0.752406573,0.38247576,0.958366421,5055.920833,3765.27016,1.08755981,0.546040067,6284.786364,4351.367157,0.112601186,0.101720734,1.398826229,0.906436715,0.418194932,0.799424213,0.444917219,0.957172203,4492.9,2417.995494,0.946994399,0.564354154
10342-55,E3 SUMO-protein ligase PIAS4,PIAS4,Q8N2W9,1224.236,2272.341569,0.353630633,0.284281604,1.560210646,784.6607143,154.8167242,1403.328,3125.290933,0.345178498,0.496010644,1.780101267,1.043515836,0.15461421,0.657967125,0.109935855,1.023957612,788.3416667,150.0202928,1.019100619,0.212261649,1333.754545,2740.617584,0.356190349,0.281205999,1.735586122,0.986174853,0.130417026,0.684067795,0.348136362,0.980907032,768.475,167.6099516,1.005370357,0.161927018
10344-334,Interleukin-10 receptor subunit alpha,IL10RA,Q13651,2488.092,371.9524635,0.161163648,0.136589481,0.933264066,2666.010714,516.3495883,2301.32,310.8654641,0.163524892,0.055917403,0.942874117,0.933099196,0.138814364,0.860076113,0.446690319,1.008252668,2440.75,360.9783708,0.925461668,0.153037942,2278.327273,313.8395902,0.016975866,0.012913227,0.895224038,0.927924482,0.1045235,0.414336034,0.329705894,0.959057766,2544.98,357.1748264,0.967537634,0.183322639
